building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
0,5,5,3+2,180,Çekmeköy,Merkez,395000,495000
3,6,1,3+1,110,Küçükçekmece,Cennet,0,230000
1,4,1,3+1,140,Beylikdüzü,Gürpınar,0,110000
16-20 arası,8,8,3+1,150,Beylikdüzü,Marmara,0,275000
1,5,Kot 4,3+1,130,Beylikdüzü,Beylikdüzü OSB,170000,310000
11-15 arası,5,3,3+1,120,Kartal,Yakacık Çarşı,0,180000
0,10-20 arası,12,3+1,120,Bağcılar,Güneşli,0,340000
11-15 arası,10-20 arası,11,3+1,145,Beylikdüzü,Büyükşehir,0,145000
0,10-20 arası,1,2+1,80,Bağcılar,Kazım Karabekir,0,170000
0,10-20 arası,10,3+1,150,Küçükçekmece,Fatih,650000,810000
0,4,1,2+1,90,Ümraniye,Yamanevler,0,165000
16-20 arası,9,7,1+1,105,Maltepe,Altayçeşme,0,250000
26-30 arası,10,5,3+1,130,Kadıköy,Kozyatağı,380000,595000
11-15 arası,5,Bahçe katı,2+1,90,Şile,Çavuş,0,130000
0,4,2,2+1,80,Maltepe,İdealtepe,0,200000
0,4,Bahçe katı,3+1,180,Üsküdar,Küçüksu,0,575000
16-20 arası,4,2,3+1,130,Güngören,Gençosman,35000,420000
16-20 arası,4,2,3+1,130,Güngören,Gençosman,60000,420000
3,6,Giriş Katı,3+1,100,Bakırköy,Zuhuratbaba,215000,280000
16-20 arası,4,2,3+1,130,Güngören,Gençosman,0,190000
1,6,3,3+1,100,Maltepe,Bağlarbaşı,155000,200000
16-20 arası,4,2,3+1,130,Güngören,Gençosman,125000,420000
16-20 arası,4,2,3+1,130,Güngören,Gençosman,0,165000
0,3,Yüksek Giriş,2+1,100,Bahçelievler,Bahçelievler,355000,445000
0,5,3,2+1,80,Çekmeköy,Alemdağ,275000,275000
0,9,7,3+1,150,Kadıköy,Göztepe,0,565000
6-10 arası,5,1,3+1,160,Üsküdar,Kısıklı,0,215000
1,6,2,3+1,143,Beylikdüzü,Barış,0,115000
16-20 arası,5,Kot 4,3+1,120,Gaziosmanpaşa,Bağlarbaşı,45000,160000
5,8,5,3+1,170,Büyükçekmece,Pınartepe,220000,220000
0,5,4,2+1,80,Kartal,Orhantepe,205000,255000
11-15 arası,4,Yüksek Giriş,3+1,130,Tuzla,Evliya Çelebi,130000,160000
0,4,Bahçe katı,3+1,180,Üsküdar,Küçüksu,0,485000
0,5,3,3+1,125,Çatalca,Ferhatpaşa,210000,260000
0,5,3,2+1,110,Çatalca,Ferhatpaşa,50000,320000
0,5,3,3+1,125,Çatalca,Ferhatpaşa,0,165000
11-15 arası,8,3,3+1,140,Çekmeköy,Mimar Sinan,0,290000
6-10 arası,3,3,5+1,200,Silivri,Alibey,0,180000
1,5,5,2+1,160,Kartal,Gümüşpınar,275000,345000
6-10 arası,10,Yüksek Giriş,2+1,105,Başakşehir,Başak,80000,140000
6-10 arası,4,4,4+2,180,Sultangazi,Zübeyde Hanım,275000,275000
0,20 ve üzeri,7,2+1,90,Başakşehir,Ziya Gökalp,0,145000
6-10 arası,4,Kot 2,3+1,105,Avcılar,Gümüşpala,90000,485000
5,5,1,3+1,100,Ümraniye,İnkılap,55000,125000
31-35 arası,6,4,2+1,110,Şişli,Mecidiyeköy,0,125000
0,10-20 arası,1,2+1,100,Bağcılar,Hürriyet,40000,150000
0,10-20 arası,1,2+1,80,Bağcılar,Kazım Karabekir,370000,460000
2,5,5,3+2,130,Beylikdüzü,Gürpınar,395000,405000
6-10 arası,4,Çatı Katı,4+1,150,Ümraniye,İstiklal,135000,465000
5,7,4,3+1,130,Kadıköy,Eğitim,600000,600000
4,5,2,2+1,110,Beylikdüzü,Adnan Kahveci,275000,345000
26-30 arası,4,Kot 4,3+1,80,Büyükçekmece,Fatih,0,175000
4,5,2,2+1,110,Beylikdüzü,Adnan Kahveci,285000,355000
0,9,1,3+1,85,Bağcılar,Güneşli,0,205000
5,3,Çatı Katı,3+2,145,Eyüpsultan,Merkez,180000,180000
21-25 arası,10-20 arası,13,3+1,140,Esenyurt,Mevlana,0,210000
26-30 arası,9,4,3+1,130,Kadıköy,Feneryolu,475000,475000
0,5,1,2+1,110,Pendik,Ahmet Yesevi,0,150000
0,5,3,2+1,80,Ümraniye,Namık Kemal,280000,350000
11-15 arası,5,5,4+2,157,Kartal,Atalar,0,310000
6-10 arası,20 ve üzeri,5,2+1,122,Başakşehir,Kayabaşı,195000,305000
