building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
0,4,1,3+1,155,Avcılar,Denizköşkler,445000,445000
31-35 arası,4,1,3+1,120,Bahçelievler,Bahçelievler,0,280000
26-30 arası,4,1,3+1,100,Kadıköy,Caferağa,0,360000
0,5,1,3+1,130,Bahçelievler,Kocasinan Merkez,125000,155000
21-25 arası,4,1,3+1,130,Gaziosmanpaşa,Yıldıztabya,80000,130000
0,5,1,2+1,85,Avcılar,Mustafa Kemal Paşa,270000,340000
0,4,1,2+1,100,Arnavutköy,Mustafa Kemal Paşa,0,155000
26-30 arası,4,1,3+1,160,Avcılar,Denizköşkler,170000,170000
16-20 arası,5,1,3+1,140,Bahçelievler,Soğanlı,365000,455000
0,5,1,2+1,90,Bahçelievler,Bahçelievler,35000,125000
0,5,1,2+1,87,Bahçelievler,Soğanlı,120000,120000
16-20 arası,5,1,3+1,130,Zeytinburnu,Telsiz,75000,490000
0,5,1,2+1,85,Kartal,Gümüşpınar,0,140000
16-20 arası,5,1,3+1,115,Bahçelievler,Şirinevler,150000,190000
0,10,1,2+1,85,Bağcılar,Kirazlı,0,180000
6-10 arası,4,1,2+1,90,Ümraniye,Armağanevler,0,110000
16-20 arası,4,1,2+1,80,Zeytinburnu,Gökalp,260000,325000
0,4,1,3+1,124,Büyükçekmece,19 Mayıs,90000,150000
3,4,1,2+1,90,Ümraniye,İstiklal,0,120000
0,4,1,2+1,90,Avcılar,Gümüşpala,230000,290000
0,5,1,2+1,85,Tuzla,İstasyon,0,350000
5,4,1,2+1,95,Tuzla,Yayla,0,185000
0,4,1,2+1,95,Bahçelievler,Bahçelievler,260000,325000
16-20 arası,4,1,2+1,85,Zeytinburnu,Telsiz,0,110000
0,2,1,2+1,90,Fatih,Mevlanakapı,615000,770000
21-25 arası,4,1,2+1,95,Gaziosmanpaşa,Pazariçi,0,120000
0,5,1,2+1,100,Sultangazi,İsmetpaşa,0,125000
5,4,1,3+1,125,Ataşehir,Kayışdağı,0,180000
0,5,1,3+1,105,Bahçelievler,Şirinevler,80000,130000
0,4,1,2+1,90,Ataşehir,İçerenköy,0,115000
0,5,1,2+1,130,Beylikdüzü,Kavaklı,0,160000
0,5,1,3+1,120,Sultangazi,Yunus Emre,55000,105000
6-10 arası,10,1,3+1,120,Ümraniye,Çamlık,0,160000
6-10 arası,3,1,2+1,115,Büyükçekmece,Atatürk,30000,150000
21-25 arası,4,1,3+1,140,Sarıyer,Tarabya,730000,910000
11-15 arası,4,1,2+1,100,Ümraniye,Kazım Karabekir,0,125000
0,4,1,2+1,90,Ataşehir,İçerenköy,185000,355000
16-20 arası,5,1,2+1,90,Bahçelievler,Bahçelievler,200000,250000
2,4,1,2+1,90,Kağıthane,Hamidiye,0,485000
0,5,1,3+1,150,Beylikdüzü,Beylikdüzü OSB,150000,190000
26-30 arası,3,1,3+1,97,Ümraniye,Atatürk,330000,410000
6-10 arası,4,1,2+1,90,Ümraniye,İstiklal,0,140000
0,5,1,2+1,100,Beylikdüzü,Beylikdüzü OSB,0,145000
0,5,1,2+1,100,Bakırköy,Yeşilköy,355000,430000
0,4,1,2+1,90,Bahçelievler,Siyavuşpaşa,270000,340000
4,4,1,2+1,90,Esenler,Namık Kemal,0,105000
16-20 arası,4,1,3+1,132,Beykoz,Rüzgarlıbahçe,0,995000
5,10-20 arası,1,3+1,135,Başakşehir,Başakşehir,475000,595000
6-10 arası,5,1,3+1,160,Sultangazi,İsmetpaşa,0,110000
0,10,1,2+1,85,Bağcılar,Kirazlı,0,160000
0,5,1,2+1,90,Tuzla,Evliya Çelebi,95000,105000
0,5,1,3+1,110,Maltepe,Feyzullah,0,275000
6-10 arası,3,1,3+1,112,Bağcılar,Yenigün,120000,120000
0,4,1,2+1,90,Ümraniye,Armağanevler,0,100000
0,5,1,3+1,165,Beylikdüzü,Marmara,0,195000
0,4,1,2+1,90,Ataşehir,İçerenköy,0,125000
26-30 arası,4,1,3+1,115,Fatih,Silivrikapı,0,220000
0,2,1,2+1,90,Fatih,Mevlanakapı,320000,320000
6-10 arası,10,1,3+1,120,Ümraniye,Armağanevler,135000,145000
0,5,1,2+1,130,Beylikdüzü,Kavaklı,0,145000
26-30 arası,4,1,2+1,150,Güngören,Merkez,0,165000
0,4,1,4+1,150,Tuzla,İstasyon,115000,215000
0,5,1,3+1,110,Bahçelievler,Şirinevler,280000,350000
0,5,1,2+1,85,Kartal,Cevizli,85000,115000
16-20 arası,5,1,3+1,140,Zeytinburnu,Yeşiltepe,190000,190000
16-20 arası,5,1,2+1,98,Beykoz,Kavacık,0,180000
0,4,1,2+1,80,Bahçelievler,Soğanlı,0,150000
0,4,1,3+1,120,Ataşehir,Esatpaşa,0,125000
16-20 arası,5,1,2+1,95,Bahçelievler,Siyavuşpaşa,0,185000
5,4,1,2+1,80,Esenler,Namık Kemal,140000,330000
6-10 arası,5,1,2+1,85,Bağcılar,Bağlar,55000,140000
0,4,1,2+1,85,Gaziosmanpaşa,Yeni Mahalle,85000,110000
26-30 arası,4,1,2+1,95,Fatih,Seyyid Ömer,0,145000
0,4,1,2+1,90,Bağcılar,15 Temmuz,100000,125000
5,4,1,2+1,80,Ataşehir,Kayışdağı,55000,100000
16-20 arası,5,1,3+1,120,Güngören,Güven,320000,320000
2,4,1,2+1,80,Zeytinburnu,Gökalp,0,190000
0,4,1,3+1,125,Avcılar,Denizköşkler,175000,305000
0,4,1,2+1,85,Maltepe,İdealtepe,40000,115000
16-20 arası,4,1,3+1,120,Avcılar,Merkez,20000,100000
11-15 arası,5,1,3+1,110,Başakşehir,Başak,125000,600000
0,4,1,2+1,90,Ümraniye,Armağanevler,30000,100000
0,4,1,2+1,90,Ümraniye,Namık Kemal,80000,135000
6-10 arası,10,1,3+1,120,Ümraniye,Çamlık,50000,135000
16-20 arası,4,1,2+1,90,Ümraniye,Atatürk,0,120000
6-10 arası,5,1,3+1,132,Bahçelievler,Soğanlı,0,150000
0,4,1,3+1,125,Bahçelievler,Yenibosna Merkez,265000,330000
6-10 arası,4,1,2+1,85,Eyüpsultan,Göktürk Merkez,70000,115000
0,4,1,3+1,107,Maltepe,Bağlarbaşı,0,190000
0,4,1,3+1,137,Bahçelievler,Bahçelievler,290000,360000
0,10,1,3+1,96,Kadıköy,Caddebostan,395000,395000
0,4,1,2+1,90,Bahçelievler,Soğanlı,275000,345000
0,5,1,2+1,95,Beylikdüzü,Adnan Kahveci,0,175000
0,3,1,3+1,115,Bayrampaşa,Altıntepsi,320000,320000
0,4,1,2+1,80,Ümraniye,Armağanevler,0,150000
6-10 arası,3,1,3+1,110,Pendik,Yenişehir,0,270000
26-30 arası,4,1,3+1,140,Bahçelievler,Bahçelievler,155000,225000
0,5,1,2+1,100,Sultangazi,İsmetpaşa,230000,230000
0,4,1,3+1,100,Çekmeköy,Sultançiftliği,125000,155000
11-15 arası,4,1,4+1,120,Pendik,Yayalar,235000,295000
0,4,1,3+1,110,Bahçelievler,Kocasinan Merkez,195000,245000
0,5,1,2+1,85,Avcılar,Mustafa Kemal Paşa,0,110000
0,4,1,2+1,90,Ümraniye,Yamanevler,0,165000
31-35 arası,4,1,3+1,110,Bahçelievler,Bahçelievler,865000,1080000
0,5,1,2+1,80,Ümraniye,Armağanevler,0,105000
26-30 arası,4,1,3+1,110,Fatih,Silivrikapı,225000,225000
0,5,1,3+1,130,Bahçelievler,Kocasinan Merkez,225000,465000
0,4,1,2+1,90,Avcılar,Merkez,220000,275000
0,5,1,2+1,100,Bahçelievler,Şirinevler,0,380000
0,4,1,2+1,90,Bahçelievler,Kocasinan Merkez,0,125000
11-15 arası,5,1,2+1,85,Beyoğlu,Halıcıoğlu,0,145000
0,5,1,2+1,105,Sultangazi,Uğur Mumcu,95000,350000
6-10 arası,4,1,4+1,180,Büyükçekmece,Mimaroba,465000,465000
31-35 arası,4,1,2+1,85,Kadıköy,Erenköy,0,155000
16-20 arası,4,1,3+1,140,Avcılar,Denizköşkler,275000,275000
6-10 arası,4,1,2+1,85,Eyüpsultan,Göktürk Merkez,0,165000
0,4,1,2+1,90,Ümraniye,Yamanevler,0,160000
26-30 arası,4,1,2+1,150,Güngören,Merkez,0,150000
0,5,1,2+1,83,Kağıthane,Merkez,0,165000
0,4,1,3+1,120,Bahçelievler,Yenibosna Merkez,245000,305000
0,4,1,2+1,85,Pendik,Ahmet Yesevi,0,105000
0,5,1,3+1,115,Sultangazi,İsmetpaşa,0,180000
3,4,1,2+1,85,Kartal,Hürriyet,20000,100000
0,4,1,3+1,95,Avcılar,Merkez,0,235000
0,4,1,2+1,85,Avcılar,Mustafa Kemal Paşa,205000,205000
0,4,1,2+1,90,Avcılar,Mustafa Kemal Paşa,445000,470000
0,4,1,2+1,87,Küçükçekmece,İnönü,285000,320000
1,4,1,2+1,85,Üsküdar,Acıbadem,0,325000
0,5,1,2+1,90,Sultangazi,Cebeci,55000,100000
0,4,1,2+1,105,Beylikdüzü,Kavaklı,0,220000
0,5,1,2+1,90,Sultangazi,Gazi,105000,130000
0,4,1,3+1,85,Ümraniye,Esenevler,0,195000
5,4,1,2+1,90,Ümraniye,Namık Kemal,0,355000
0,5,1,2+1,100,Bahçelievler,Şirinevler,0,130000
21-25 arası,4,1,3+1,130,Avcılar,Merkez,70000,180000
0,5,1,2+1,100,Sultangazi,Esentepe,265000,330000
0,5,1,2+1,85,Maltepe,İdealtepe,245000,245000
0,5,1,4+1,148,Esenler,Mimar Sinan,0,560000
6-10 arası,4,1,3+1,145,Bahçelievler,Hürriyet,110000,410000
16-20 arası,3,1,3+1,190,Bakırköy,Şenlikköy,1010000,1010000
0,4,1,2+1,80,Bahçelievler,Soğanlı,160000,200000
1,4,1,2+1,100,Bahçelievler,Yenibosna Merkez,0,125000
0,4,1,2+1,117,Sancaktepe,Safa,135000,170000
0,5,1,2+1,110,Esenyurt,Mehmet Akif Ersoy,50000,110000
0,5,1,3+1,145,Beylikdüzü,Adnan Kahveci,0,170000
0,5,1,3+1,119,Sultangazi,75. Yıl,105000,135000
5,5,1,3+1,120,Sultangazi,Uğur Mumcu,0,205000
0,4,1,2+1,95,Beylikdüzü,Marmara,0,100000
5,5,1,3+1,125,Sultangazi,Yunus Emre,0,155000
5,5,1,2+1,90,Bağcılar,Bağlar,140000,140000
0,4,1,3+1,110,Tuzla,İstasyon,415000,520000
0,5,1,2+1,90,Bahçelievler,Siyavuşpaşa,0,225000
0,1,1,3+1,128,Sultangazi,Esentepe,30000,335000
0,5,1,2+1,80,Eyüpsultan,Rami Yeni,245000,390000
0,5,1,3+1,125,Sultangazi,İsmetpaşa,275000,275000
0,5,1,3+1,110,Sancaktepe,Meclis,20000,125000
21-25 arası,4,1,3+1,140,Avcılar,Merkez,85000,105000
0,5,1,2+1,90,Sultangazi,Cebeci,0,380000
0,5,1,3+1,119,Sultangazi,75. Yıl,360000,450000
0,5,1,3+1,125,Esenyurt,Saadetdere,280000,350000
0,4,1,3+1,115,Bağcılar,Kirazlı,0,155000
0,5,1,2+1,105,Sultangazi,Uğur Mumcu,65000,110000
21-25 arası,4,1,3+1,100,Maltepe,Altıntepe,285000,285000
0,4,1,2+1,90,Bahçelievler,Kocasinan Merkez,220000,220000
4,5,1,2+1,80,Beykoz,Kavacık,0,170000
0,4,1,2+1,95,Küçükçekmece,İstasyon,0,360000
0,4,1,3+1,115,Gaziosmanpaşa,Şemsipaşa,275000,345000
36-40 arası,4,1,2+1,80,Fatih,Seyyid Ömer,235000,235000
0,4,1,3+1,110,Kadıköy,Suadiye,260000,325000
31-35 arası,4,1,3+1,100,Beykoz,Kanlıca,0,200000
0,5,1,3+1,115,Sultangazi,Yunus Emre,0,105000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,400000,500000
6-10 arası,4,1,3+1,120,Ümraniye,Tantavi,35000,230000
1,5,1,2+1,90,Sultangazi,Cebeci,0,115000
0,5,1,2+1,110,Sultangazi,İsmetpaşa,0,125000
26-30 arası,4,1,2+1,95,Maltepe,İdealtepe,140000,140000
21-25 arası,5,1,2+1,110,Bahçelievler,Soğanlı,200000,250000
11-15 arası,4,1,4+1,143,Ümraniye,Esenevler,270000,340000
6-10 arası,4,1,2+1,95,Zeytinburnu,Yenidoğan,0,180000
11-15 arası,5,1,3+1,88,Çekmeköy,Mehmet Akif,0,120000
21-25 arası,10-20 arası,1,3+1,115,Ataşehir,İçerenköy,0,110000
21-25 arası,5,1,2+1,110,Bahçelievler,Soğanlı,0,105000
0,4,1,2+1,85,Esenler,Namık Kemal,165000,205000
0,3,1,3+1,122,Bahçelievler,Bahçelievler,1030000,1290000
0,5,1,2+1,105,Sultangazi,Esentepe,55000,110000
16-20 arası,4,1,3+1,125,Bahçelievler,Cumhuriyet,70000,110000
0,4,1,3+1,105,Esenler,Namık Kemal,330000,330000
0,4,1,3+1,95,Kartal,Hürriyet,170000,210000
0,4,1,3+1,145,Avcılar,Denizköşkler,0,240000
0,2,1,2+1,80,Bahçelievler,Kocasinan Merkez,0,130000
0,2,1,2+1,100,Bahçelievler,Kocasinan Merkez,325000,325000
0,5,1,2+1,100,Sultangazi,Cebeci,35000,320000
36-40 arası,4,1,2+1,85,Zeytinburnu,Merkezefendi,0,275000
11-15 arası,5,1,2+1,85,Sultangazi,Sultançiftliği,0,140000
0,5,1,2+1,105,Esenler,Namık Kemal,120000,125000
0,5,1,2+1,110,Sultangazi,Cebeci,60000,365000
6-10 arası,4,1,3+1,130,Beykoz,Kavacık,690000,690000
21-25 arası,4,1,3+1,120,Bahçelievler,Soğanlı,255000,335000
16-20 arası,10-20 arası,1,3+1,130,Beylikdüzü,Barış,110000,150000
6-10 arası,5,1,3+1,123,Sultangazi,Uğur Mumcu,245000,305000
0,4,1,3+1,120,Tuzla,Yayla,0,220000
0,10-20 arası,1,3+1,114,Kadıköy,Fenerbahçe,1305000,1305000
6-10 arası,5,1,2+1,80,Esenler,Menderes,265000,265000
0,4,1,2+1,80,Bağcılar,Yavuz Selim,70000,340000
6-10 arası,5,1,2+1,80,Esenler,Menderes,270000,340000
0,4,1,3+1,120,Bakırköy,Zuhuratbaba,520000,520000
6-10 arası,5,1,3+1,150,Eyüpsultan,Göktürk Merkez,0,1150000
0,4,1,3+2,130,Sancaktepe,Yenidoğan,0,420000
0,1,1,2+1,92,Sultangazi,Gazi,265000,330000
21-25 arası,4,1,3+1,100,Maltepe,Altıntepe,235000,295000
6-10 arası,5,1,2+1,95,Ümraniye,İnkılap,0,155000
6-10 arası,5,1,3+1,127,Esenler,Namık Kemal,0,165000
4,4,1,2+1,80,Kartal,Atalar,0,105000
26-30 arası,5,1,3+1,130,Bahçelievler,Bahçelievler,50000,240000
6-10 arası,5,1,3+1,128,Bahçelievler,Soğanlı,0,180000
6-10 arası,5,1,3+1,100,Pendik,Güzelyalı,0,145000
6-10 arası,5,1,3+1,120,Maltepe,Bağlarbaşı,0,180000
0,4,1,3+1,115,Sultangazi,Uğur Mumcu,40000,115000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,405000,430000
16-20 arası,5,1,3+1,120,Şişli,Duatepe,0,320000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,0,210000
0,4,1,2+1,85,Bahçelievler,Soğanlı,105000,130000
0,5,1,3+1,120,Sultangazi,İsmetpaşa,125000,125000
6-10 arası,5,1,3+1,128,Bahçelievler,Soğanlı,145000,175000
0,3,1,3+1,120,Bahçelievler,Bahçelievler,0,950000
0,5,1,2+1,105,Sultangazi,Gazi,95000,315000
0,5,1,2+1,105,Sultangazi,Gazi,0,115000
3,5,1,3+1,110,Kartal,Atalar,290000,360000
31-35 arası,4,1,3+1,120,Bahçelievler,Bahçelievler,205000,850000
16-20 arası,5,1,3+1,135,Beykoz,Kavacık,80000,280000
6-10 arası,5,1,3+1,125,Bahçelievler,Şirinevler,15000,115000
6-10 arası,4,1,3+1,120,Ataşehir,Örnek,80000,165000
6-10 arası,4,1,3+1,145,Bahçelievler,Hürriyet,205000,410000
0,5,1,2+1,120,Sultangazi,Gazi,85000,105000
6-10 arası,5,1,3+1,120,Maltepe,Bağlarbaşı,210000,210000
6-10 arası,5,1,2+1,140,Büyükçekmece,Pınartepe,160000,160000
0,4,1,3+1,120,Bahçelievler,Bahçelievler,475000,475000
26-30 arası,4,1,3+1,110,Maltepe,Feyzullah,0,745000
6-10 arası,5,1,4+1,140,Sultangazi,İsmetpaşa,90000,110000
0,4,1,3+1,145,Beylikdüzü,Adnan Kahveci,65000,105000
6-10 arası,5,1,2+1,140,Büyükçekmece,Pınartepe,0,130000
11-15 arası,5,1,3+1,120,Eyüpsultan,Rami Cuma,70000,110000
0,4,1,3+1,125,Bahçelievler,Bahçelievler,0,145000
6-10 arası,5,1,2+1,80,Eyüpsultan,Çırçır,0,145000
11-15 arası,10-20 arası,1,2+1,90,Ümraniye,Çakmak,350000,440000
11-15 arası,5,1,3+1,120,Sultangazi,Uğur Mumcu,0,115000
6-10 arası,5,1,3+1,150,Eyüpsultan,Göktürk Merkez,480000,600000
6-10 arası,5,1,3+1,159,Büyükçekmece,Mimaroba,0,225000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,0,430000
0,4,1,2+1,104,Zeytinburnu,Telsiz,425000,530000
0,2,1,2+1,84,Bahçelievler,Kocasinan Merkez,0,145000
6-10 arası,5,1,3+1,110,Pendik,Yenişehir,0,170000
4,4,1,3+1,97,Esenler,Mimar Sinan,330000,410000
6-10 arası,5,1,3+1,160,Sultangazi,İsmetpaşa,0,145000
26-30 arası,4,1,3+1,120,Kadıköy,Erenköy,115000,205000
11-15 arası,4,1,3+1,100,Kadıköy,Sahrayı Cedit,80000,175000
0,4,1,2+1,100,Avcılar,Mustafa Kemal Paşa,0,370000
6-10 arası,4,1,2+1,88,Bahçelievler,Soğanlı,0,315000
0,4,1,3+1,107,Maltepe,Bağlarbaşı,40000,135000
1,4,1,3+1,100,Maltepe,Feyzullah,0,280000
6-10 arası,2,1,2+1,112,Eyüpsultan,Merkez,155000,195000
6-10 arası,5,1,3+1,150,Ümraniye,İnkılap,245000,245000
0,4,1,2+1,117,Sancaktepe,Safa,130000,125000
26-30 arası,3,1,2+1,120,Fatih,Koca Mustafapaşa,185000,230000
6-10 arası,5,1,3+1,135,Bahçelievler,Siyavuşpaşa,0,295000
21-25 arası,5,1,2+1,110,Bahçelievler,Soğanlı,0,135000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,0,170000
6-10 arası,5,1,3+1,134,Bahçelievler,Yenibosna Merkez,355000,445000
0,4,1,3+1,120,Bağcılar,Demirkapı,340000,360000
0,5,1,2+1,95,Sultangazi,Cebeci,0,170000
6-10 arası,5,1,3+1,127,Esenler,Namık Kemal,300000,375000
16-20 arası,4,1,2+1,85,Zeytinburnu,Nuripaşa,0,145000
0,5,1,3+1,145,Beylikdüzü,Adnan Kahveci,80000,210000
26-30 arası,5,1,3+1,130,Bahçelievler,Bahçelievler,190000,240000
1,4,1,3+1,120,Zeytinburnu,Telsiz,195000,245000
21-25 arası,4,1,2+1,90,Bahçelievler,Yenibosna Merkez,0,155000
6-10 arası,4,1,3+1,90,Ümraniye,İstiklal,0,135000
0,10-20 arası,1,3+1,110,Pendik,Çınardere,70000,130000
0,5,1,2+1,90,Bağcılar,Barbaros,155000,195000
6-10 arası,5,1,3+1,95,Maltepe,Girne,0,175000
0,4,1,2+1,87,Bahçelievler,Soğanlı,125000,380000
0,5,1,2+1,105,Sultangazi,Gazi,175000,175000
0,5,1,2+1,90,Sultangazi,İsmetpaşa,0,120000
6-10 arası,4,1,3+1,115,Tuzla,Yayla,0,125000
2,4,1,3+1,125,Maltepe,Zümrütevler,0,145000
40 ve üzeri,5,1,2+1,80,Fatih,Silivrikapı,0,240000
21-25 arası,5,1,3+1,120,Bahçelievler,Soğanlı,0,335000
11-15 arası,4,1,3+1,100,Kadıköy,Sahrayı Cedit,120000,175000
0,4,1,3+1,110,Maltepe,Bağlarbaşı,90000,135000
6-10 arası,5,1,3+1,145,Büyükçekmece,Mimaroba,400000,470000
21-25 arası,4,1,2+1,130,Avcılar,Ambarlı,90000,100000
6-10 arası,5,1,3+1,128,Bahçelievler,Soğanlı,155000,525000
6-10 arası,5,1,2+1,140,Büyükçekmece,Pınartepe,125000,130000
6-10 arası,5,1,3+1,140,Çatalca,Ferhatpaşa,245000,245000
0,5,1,3+1,100,Tuzla,Yayla,0,180000
26-30 arası,4,1,3+1,130,Avcılar,Ambarlı,0,140000
0,4,1,2+1,95,Tuzla,İstasyon,55000,150000
21-25 arası,4,1,2+1,80,Fatih,Şehremini,0,170000
6-10 arası,5,1,3+1,90,Bayrampaşa,Kartaltepe,0,220000
26-30 arası,4,1,3+1,100,Kartal,Yakacık Çarşı,135000,170000
0,4,1,4+1,142,Esenler,Mimar Sinan,0,195000
0,5,1,3+1,120,Bağcılar,Güneşli,0,125000
16-20 arası,4,1,2+1,90,Zeytinburnu,Telsiz,0,115000
36-40 arası,5,1,2+1,85,Bakırköy,Cevizlik,295000,370000
11-15 arası,4,1,3+1,130,Zeytinburnu,Nuripaşa,340000,425000
1,4,1,2+1,110,Gaziosmanpaşa,Şemsipaşa,265000,330000
36-40 arası,5,1,2+1,95,Fatih,Molla Gürani,65000,180000
36-40 arası,5,1,2+1,110,Beşiktaş,Türkali,90000,255000
0,3,1,3+1,130,Bahçelievler,Bahçelievler,1445000,1805000
5,4,1,2+1,90,Ümraniye,Armağanevler,0,145000
31-35 arası,5,1,4+2,160,Bakırköy,Zuhuratbaba,410000,410000
31-35 arası,5,1,3+1,125,Fatih,Akşemsettin,345000,430000
31-35 arası,5,1,3+1,125,Fatih,Akşemsettin,100000,250000
6-10 arası,4,1,3+1,140,Bağcılar,Sancaktepe,0,190000
3,5,1,1+0,120,Sultangazi,Esentepe,0,135000
11-15 arası,5,1,3+1,115,Ümraniye,Çakmak,205000,315000
31-35 arası,5,1,3+1,135,Kadıköy,Göztepe,0,250000
16-20 arası,5,1,3+1,185,Maltepe,Zümrütevler,170000,475000
0,3,1,3+1,120,Esenler,Tuna,100000,380000
31-35 arası,4,1,3+1,130,Fatih,Seyyid Ömer,0,215000
31-35 arası,5,1,3+1,125,Fatih,Akşemsettin,255000,255000
0,5,1,3+1,119,Sultangazi,75. Yıl,0,410000
0,4,1,2+1,80,Üsküdar,Bulgurlu,60000,120000
16-20 arası,5,1,2+1,95,Bahçelievler,Siyavuşpaşa,140000,175000
31-35 arası,5,1,4+2,160,Bakırköy,Zuhuratbaba,530000,660000
6-10 arası,4,1,3+1,110,Ümraniye,Çakmak,115000,145000
0,4,1,3+1,115,Sultangazi,Uğur Mumcu,0,120000
1,5,1,4+2,195,Bahçelievler,Siyavuşpaşa,0,340000
0,5,1,2+1,95,Sultangazi,Cebeci,0,170000
6-10 arası,4,1,3+1,100,Ataşehir,Yenişehir,0,195000
0,4,1,3+1,120,Bahçelievler,Soğanlı,435000,545000
5,4,1,2+1,90,Ümraniye,Namık Kemal,270000,340000
26-30 arası,5,1,2+1,100,Beyoğlu,Gümüşsuyu,0,275000
0,5,1,2+1,87,Bahçelievler,Şirinevler,0,160000
26-30 arası,5,1,3+1,150,Bahçelievler,Soğanlı,0,150000
6-10 arası,4,1,3+1,120,Avcılar,Üniversite,130000,160000
0,4,1,2+1,130,Beylikdüzü,Yakuplu,0,105000
0,5,1,3+1,110,Bakırköy,Yeşilköy,0,650000
3,4,1,2+1,85,Eyüpsultan,Karadolap,35000,110000
5,5,1,2+1,85,Bahçelievler,Cumhuriyet,0,110000
26-30 arası,5,1,3+1,125,Avcılar,Merkez,0,135000
16-20 arası,5,1,3+1,114,Ümraniye,Mehmet Akif,115000,145000
26-30 arası,5,1,3+1,125,Avcılar,Merkez,145000,180000
0,4,1,3+1,120,Tuzla,Yayla,0,140000
21-25 arası,5,1,2+1,100,Bakırköy,Kartaltepe,90000,160000
26-30 arası,4,1,2+1,95,Fatih,Şehremini,0,165000
26-30 arası,5,1,3+1,100,Üsküdar,Mehmet Akif Ersoy,0,280000
0,4,1,3+1,120,Bahçelievler,Bahçelievler,285000,285000
26-30 arası,5,1,2+1,90,Bahçelievler,Siyavuşpaşa,250000,250000
26-30 arası,5,1,3+1,120,Bahçelievler,Yenibosna Merkez,220000,275000
11-15 arası,5,1,3+1,135,Ümraniye,İnkılap,0,195000
0,5,1,2+1,85,Kartal,Cumhuriyet,0,135000
1,4,1,3+1,125,Maltepe,Zümrütevler,0,165000
0,5,1,3+1,120,Esenyurt,Saadetdere,85000,150000
0,4,1,3+1,125,Avcılar,Cihangir,325000,325000
4,4,1,2+1,90,Esenler,Kazım Karabekir,0,150000
0,5,1,3+1,130,Bahçelievler,Şirinevler,185000,185000
26-30 arası,5,1,2+1,82,Bahçelievler,Siyavuşpaşa,220000,220000
26-30 arası,5,1,3+1,100,Fatih,Akşemsettin,0,310000
31-35 arası,4,1,2+1,80,Fatih,Şehremini,200000,250000
0,4,1,2+1,90,Ümraniye,Yamanevler,245000,245000
6-10 arası,4,1,3+1,105,Ataşehir,Esatpaşa,0,210000
21-25 arası,10-20 arası,1,3+1,115,Ataşehir,İçerenköy,145000,145000
3,4,1,2+1,85,Eyüpsultan,Karadolap,275000,275000
6-10 arası,5,1,3+1,120,Bahçelievler,Siyavuşpaşa,50000,150000
0,5,1,2+1,85,Şişli,Meşrutiyet,0,270000
6-10 arası,10-20 arası,1,3+1,117,Küçükçekmece,Atakent,130000,160000
6-10 arası,5,1,3+1,125,Sultangazi,İsmetpaşa,280000,350000
0,4,1,3+1,135,Bahçelievler,Yenibosna Merkez,65000,435000
21-25 arası,4,1,2+1,80,Fatih,Şehremini,270000,270000
0,5,1,2+1,85,Üsküdar,Çengelköy,0,255000
0,4,1,2+1,95,Bahçelievler,Zafer,260000,325000
26-30 arası,5,1,2+1,99,Bahçelievler,Siyavuşpaşa,75000,350000
4,4,1,2+1,90,Pendik,Kaynarca,80000,115000
1,4,1,3+1,95,Sancaktepe,Eyüp Sultan,0,105000
26-30 arası,5,1,3+1,110,Bahçelievler,Siyavuşpaşa,185000,190000
26-30 arası,5,1,2+1,95,Kadıköy,Bostancı,0,460000
0,4,1,2+1,100,Maltepe,Küçükyalı,230000,230000
26-30 arası,4,1,2+1,85,Fatih,Seyyid Ömer,270000,270000
6-10 arası,4,1,2+1,100,Bahçelievler,Zafer,55000,100000
6-10 arası,4,1,3+1,145,Bahçelievler,Hürriyet,0,180000
6-10 arası,4,1,2+1,85,Eyüpsultan,Göktürk Merkez,0,125000
6-10 arası,4,1,2+1,80,Kağıthane,Telsizler,330000,350000
6-10 arası,4,1,3+1,120,Beylikdüzü,Adnan Kahveci,60000,115000
0,5,1,2+1,115,Sultangazi,Cebeci,140000,140000
31-35 arası,4,1,4+1,160,Kadıköy,Fenerbahçe,0,580000
26-30 arası,5,1,3+1,115,Bahçelievler,Siyavuşpaşa,255000,320000
0,4,1,3+1,130,Bahçelievler,Cumhuriyet,235000,295000
1,4,1,3+1,100,Üsküdar,Ferah,445000,555000
21-25 arası,5,1,2+1,110,Bahçelievler,Soğanlı,0,315000
0,4,1,3+1,98,Sancaktepe,Atatürk,0,105000
1,4,1,2+1,85,Kartal,Atalar,165000,315000
26-30 arası,5,1,3+1,120,Bahçelievler,Siyavuşpaşa,0,120000
11-15 arası,5,1,3+1,160,Kartal,Orhantepe,425000,425000
16-20 arası,4,1,3+1,120,Kadıköy,Erenköy,330000,590000
1,4,1,3+1,95,Sancaktepe,Eyüp Sultan,65000,100000
3,5,1,3+1,120,Bahçelievler,Soğanlı,225000,225000
0,5,1,2+1,90,Bahçelievler,Şirinevler,110000,140000
4,4,1,3+1,92,Pendik,Yeni,35000,140000
0,4,1,3+2,130,Sancaktepe,Yenidoğan,45000,140000
